index,name,description,content,URL
15,"지역인재 추천채용제도 (7, 9급)",지역인재 공무원 채용 강화,"(지역인재 7급) 4년제 대학 졸업(예정)자를 대상으로 학교추천을 거쳐 선발, 1년간 수습근무 후 일반직 7급 공무원으로 임용 - (추천요건) 학과성적 상위 10퍼센트이내, 영어ㆍ한국사 기준점수(등급) 이내(지역인재 9급) 학과성적 상위 30퍼센트이내  ※ 전문대는 기술직군에 한해 추천가능 (단, 고졸자 50퍼센트 이상 합격조건)",https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifList.do
16,청년취업아카데미,"산업현장에서 필요한 교육과정을 대학생(원) 졸업(예정)자에게 제공하고 취업 또는 창직, 창업활동과 연계하는 사업","1. 교육훈련 프로그램 제공 - 청년들이 원하는 직무분야 관련 교육훈련 프로그램을 무료로 제공 - 연수과정(단기 300시간 이내/장기 500시간 내외): 산업현장에서 요구하는 맞춤형 교육과정을 기업에서 제공, 청년고용 창출을 지원하는 현장맞춤인재양성과정, 융합인재양성과정 등 - 창직과정(200~500시간): 문화 · 예술 · 콘텐츠 분야 등에서 도전적이고 창의적인 활동을 통한 개인의 직업능력을 향상시키며, 새로운 일자리를 창출 할 수 있도록 지원하는 교육과정2. 학점인정 : 협약대학에 한함3. 취업연계 연수과정 수료 후 협약기업 등으로 취업연계 지원4. 수료 후 6개월 간 집중관리",https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifList.do
17,해운대자활센터 청년커피사업단,저소득 청년층으로 구성된 커피사업 운영으로 근로의 기회 제공을 통한 자립기회제공,"청년자활급여, 사업수익성과 지원 등",https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifList.do
18,대구형 청년내일채움공제 사업,지역 중소기업 등에 정규직으로 취업한 청년들의 자산형성 지원 및 장기근속 독려,"청년 미취업자 채용 및 정규직 전환 지원
1. 정부연계형 : 근속지원금 150만원(→기업)
2. 일반형
- 정규직지원금 : 150만원(→기업)
- 고용유지장려금 : 300만원(→기업), 270만원(→근로자)
* 고용유지장려금은 예산의 범위 내에서 지급",https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifList.do
19,인천 재직청년 드림포인트,"중소제조기업 청년재직자에게 복지포인트 지급 (생애 1회, 120만원 복지포인트지급)","인천e음카드포인트 30만원 및 복지포인트 90만원 지원, 연간(생애1회)",https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifList.do
20,청년 취업역량 프로그램,능력중심채용제도(NCS기반채용)에 대비한 구직역량 강화를 목적으로 집중적인 워크숍 형태로 제공되는 취업지원 프로그램,"1. 청년 취업준비생의 능력중심채용제도 및 역량채용에 대한 이해도를 높이고 적합한 기업 및 직무탐색 및 취업준비가 이루어질 수 있도록 프로그램 지원
2. 프로그램 내용
 1) 청년채용 동향
 2) 역량채용 및 NCS능력중심채용의 이해
 3) 기업 및 직무와 역량
 4) 능력중심채용시대의 입사지원서 이해 
 5) 능력중심채용시대의 서류작성 실습
 6) 능력중심채용시대의 면접 전형 이해
 7) 능력중심채용시대의 면접 실습
 8) 역량개발계획 수립",https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifList.do
21,내일채움공제,중소(중견)기업 사업주와 핵심인력이 공동으로 적립한 공제금을 가입기간에 따라 장기 재직한 핵심인력에게 성과보상금 형태로 지급하는 공제,"1. 청년 지원내용 - 5년 만기재직 후 본인의 납입금 대비 3배 이상(세전)수령  - 만기 공제금 수령시 기업기여금에 대한 근로소득세 50퍼센트(중견기업은 30퍼센트)에 상당하는 세액 감면   ※ 단, 해당기업의 최대주주 등 대통령령으로 정하는 사람은 제외2. 기업 지원내용 - 기업납입금 전액 손금(비용)인정 및 연구·인력개발비 세액공제 적용   ※ 중견기업은 연구·인력개발비 세액공제 적용불가   ※ 세액공제: 당해연도 발생액의 25퍼센트 또는 직전년도 대비 증가액의 50퍼센트 中 선택적용",https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifList.do
22,청년 내일(My job and Tomorrow) 학교,취·창업을 준비중인 청년들을 대상으로 도전의식을 가진 창업 CEO와 취업 선배들의 경험담 공유와 직업현장 체험을 통해 직업에 대한 사전정보 취득과 안정적 사회진입을 지원,"청년CEO와 취업선배들의 취창업 도전기 공유(탐색클래스) 기업가정신 함양 프로그램, 창업CEO와 취업선배가 들려주는 실패와 도전기 공유, 취업선배들과 함께하는 기업 현장탐방, 진로방향 설정을 위한 상담 등을 통한 진로탐색 기회 제공(내일콘서트) 실패 및 성공도전기 전파를 통한 미래 직업마인드 함양(갭이어활동) 내일학교 수료 청년들에게 최대 150만원 지원(청년수당)",https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifList.do
23,중소기업 청년 노동자 지원사업 (구. 청년 마이스터 통장),중소기업 재직 청년에게 근로장려금을 지급함으로써 장기근속 유도 및 미스매칭 해소,3개월 단위 60만원씩 2년간 최대 480만원 지역화폐 지급,https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifList.do
24,경남 청년내일채움공제 지원사업,고용부 3년형 청년내일채움공제 가입 도내 청년 지원,"청년지원금 : 청년내일채움공제 가입 도내 주소 청년이 도내 기업에 취업한 경우, 근속 1, 2, 3년차 확인 후 지원(1회 당 100만원, 총 3회 지원)고용부 3년형 청년내일채움공제 가입 도내 청년의 청년부담금(600만원)의 50퍼센트 지원",https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifList.do
25,부산시 지역주도형 청년일자리 사업(부산 비즈니스서비스기업 청년일자리 지원사업),부산 비즈니스서비스기업의 청년채용 지원을 통해 비즈니스서비스기업의 성장 지원 및 전문인력 양성,"인건비 지원, 인센티브, 기타 지원(교육 및 네트워킹 등)",https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifList.do
26,대학일자리센터,"대학 내 취업지원부서, 여대생커리어센터 등 취업·창업지원 기능을 통합 및 연계하여 청년에게 원스톱 고용서비스 제공하며,
청년고용정책 안내 및 고용센터·지자체 등 유관기관과의 연계 프로그램 및 서비스 제공","전문 컨설턴트에게 진로·취업·창업 상담 가능교육프로그램, 취업박람회, 취업컨설팅 등에 참여 가능정부와 지자체에서 제공하는 진로·취·창업 지원 서비스를 안내진로취업전담교수 등을 통해 체계적인 진로지도제공",https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifList.do
27,일학습병행제,"기업이 (학습)근로자를 채용하여 체계적인 맞춤형 훈련을 제공하고 훈련 종료 후 역량을 평가하여 자격, 학력 등 인정","<학습근로자>- 현장 훈련이 경험으로 업무 적응도 향상- 훈련 수료후, 학습근로자의 훈련성과 평가를 통해 도제자격 부여<학습기업>- 핵심인재 양성 및 직무와 인력간의 미스매치 해서- 훈련과정 개발 및 운영지원- 학습도구지원·컨설팅- 현장훈련비용 - HRD 담당자 수당 지원 - 기업현장교사 수당- 각종 가점 적용 1) 병역 특례업체 지정가점(병무청) 2) 물품구매 등 적격심사 가점(조달청) 3) 품질보증 조달물품 심사 가점(조달청) 4) 클린사업장 우선지정 가점(산업안전보건공단)",https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifList.do
28,서울시 취업날개서비스 운영,청년실업률 증가와 취업준비 기간 장기화로 구직과정에서 과중한 경제적 부담을 겪고 있는 청년들을 지원하기 위해 면접정장 무료대여 취업날개서비스 추진,면접용 정장 무료대여,https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifList.do
29,행복내일 취업지원프로그램,"취업의욕강화와 취업을 준비를 위한 자기이해 및 강점발견, 구직기술 습득, 직장적응 이해 등을 통해 미래 지향적인 삶으로 나아갈 수 있도록 취업능력 향상을 지원하는 프로그램",참여기간 : 4일 과정(중식 및 간식 제공),https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifList.do
30,해외취업정착지원금,해외취업에 성공한 도전적인 청년의 원활한 현지 정착과 장기근속을 위해 지원금 지급,"해외취업정착지원금 지원1. 지원금 우대국가  취업 시 최대 600만원 지원  - 동남아, 중남미, 중동, 유라시아, 아프리카 등 신흥국(선진국 분류 25개국을 제외한 모든 국가)2. 선진국 분류국가  취업 시 최대 400만원 지원 - 그리스, 네덜란드, 노르웨이, 뉴질랜드, 덴마크, 독일, 룩셈부르크, 미국, 벨기에, 스웨덴, 스위스, 스페인, 아이슬란드, 아일랜드, 영국, 오스트레일리아, 오스트리아, 이스라엘, 이탈리아, 일본, 캐나다, 포르투갈, 프랑스, 핀란드, 홍콩 등 25개국",https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifList.do
31,온라인청년센터,-,"1. 실시간 상담- 바로바로 궁금증 해결!- 카카오톡과 게시판을 통해 청년정책과 공간에 대해 실시간 상담 가능- 카카오톡 예약 심층상담을 통해 진로 및 취업과 관련한 심층 상담2. 청년정책정보- 전국의 청년정책을 한 눈에 확인- 정책 키워드 및 유형과 지역별 청년정책 검색으로 나에게 꼭 맞는 정책을 확인하고, 비슷해 보이는 청년정책 비교를 통해 맞춤형 청년정책 검색3. 청년공간정보- 개인공부, 그룹스터디, 조모임, 공연장소 등 청년이용가능한 전국의 공간정보 확인- 청년들을 위해 전국에 200여 곳의 청년공간 위치 확인 가능 및 지역별 프로그램 정보 제공",https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifList.do
32,대학생 아르바이트 운영,"방학기간을 이용, 대학생들의 학비마련 및 일자리 창출 및 현장중심의 행정경험과 시정에 대한 이해를 높이고 사회체험 기회제공","1일 61,212원 (2021년 대전광역시",https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifList.do
33,광주일자리종합지원센터 취업지원,미니취업박람회 등 취업지원사업,"광주일자리종합지원센터를 통해 취업박람회 등 취창업, 진로 관련 프로그램 지원",https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifList.do
34,대학생 취업패키지 지원사업(희망옷장),고교 졸업예정자 및 청년구직자에게 면접 정장을 무료로 대여하여 구직활동에 대한 경제적 부담을 경감하고 적극적 구직활동 지원,"면접정장 무료 대여- 남성(자켓, 바지, 셔츠, 구두, 벨트, 넥타이)- 여자(자켓, 스커트, 블라우스, 구두)- 대여횟수 : 연간 3회- 대여기간 : 3박 4일(반납시 세탁비 5천원 신청자 부담)",https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifList.do
35,일자리창출촉진자금,"일자리창출, 고용유지, 중소기업인재육성 기업에게 대출 금리 우대 지원","고용 창출 우수기업에게 대출 금리 우대 지원- 대출한도: 기업당 최대 60억원 *지방소재 기업은 70억원까지 가능- 대출금리: 분기에 따라 변동되는 정책자금 기준금리에서 0.4퍼센트 차감(2019년 1분기 2.3퍼센트), 기업별 신용위험등급, 담보종류 등을 반영한 금리 적용- 이자환급안내: 향후 추가 고용 창출, 수출 성과 등에 따라 최대 2퍼센트포인트 이내에서 5,000만원까지 이자 환급",https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifList.do
36,새로운 경기도,취업취약계층에게 공공/공익분야 일배움 기회를 제공하고 직업역량을 배양해 민간 일자리로 연계를 지원하는 정책,"공공형 및 민간형 183명 모집(공공기관 및 사회적경제분야 93명, 민간 분야 90명)
공공기관, 사회적기업, 민간 분야 근무를 통한 일배움 기회 제공
민간일자리 취업을 위한 징검다리 매니저 취업지원 및 취업/직무역량 강화교육 지원 등 취업지원",https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifList.do
37,랜선으로 즐기는 슬기로운 청년생활,"온라인 면접특강, 스타트업 마케팅 전략교육, 청년 1인가구 프로그램 운영",자기성장과 다양한 경험의 기회제공을 통한 청년 역량강화 도모,https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifList.do
38,참 괜찮은 중소기업 플랫폼,주변에 괜찮은 중소기업이 많다는 것을 홍보하기 위해서 정부·지자체에서 인증한 좋은 중소기업 정보를 통합 플랫폼을 통해 유형별로 제공,정부·지자체 인증한 우수 중소기업 정보를 제공,https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifList.do
39,NEW START 청년일자리사업,"지역사회에 필요한 서비스를 제공하고 참여자에게는 일경험 제공 및 직업역량 배양을 통해 참여자의 민간일자리 진입 촉진- 청년에게 적합한 지역일자리를 발굴 제공하여, 자산형성이 가능한 수준의 소득을 창출하는 지속가능한 경제활동 지원- 청년에게 전공과 적성을 고려한 일경험 기회를 제공하여 직무역량을 강화하고 향후 구직활동과 연계",청년일자리 참여자에게 인건비 지원(기업 20프로 부담)취·창업 직무교육 실시 및 일자리 알선·취업 지원 등,https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifList.do
40,울산청년 행복지원사업,중소기업 청년근로자의 복지향상을 통한 근로의욕 고취 및 장기 근속 유도를 위해 복지포인트 지급,50만원×2회 총 100만원 지원(울산페이),https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifList.do
41,수원청년 내일로 사업,지역주도형 청년일자리 사업 추진으로 지역 기반의 청년 일자리를 발굴하고 수원시 청년이 관내 기업에서 일하며 함께 성장할 수 있도록 지원하고자 함,"2년간 인건비 80퍼센트(월최대 160만원) 및 직무교육 등 지원, 1년 취·창업 추가 지원",https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifList.do
42,산업단지 중소기업 청년 교통비 지원(청년동행카드),교통여건이 열악한 산업단지 입주 중소기업에 근무하는 청년 근로자에게 매월 5만원씩 교통비 제공,"교통여건이 열악한 산업단지 입주 중소기업에 근무 청년 근로자에게 매월 5만원씩 교통비 지원* * 지원 대상자로 선정된 경우 버스, 지하철, 택시요금 및 주유비 용도로 사용할 수 있는 전용카드(신용,체크)를 발급받아야 하며, 발급받은 카드를 해당 용도로 사용한 내역에 대하여 월 5만원 한도의 바우처에서 차감하는 방식. 단, 신한카드의 경우에는 기존 보유카드 사용 가능(자세한 사항은 해당 카드사 문의)",https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifList.do
43,청년예술지원사업 운영,청년예술인의 성장을 견인하는 경력주기별 다양한 예술활동 기회를 제공하고 창작을 위한 새로운 실험과 도전이 가능한 창작환경 제공,창작준비지원-창작활동지원-청년예술청:청년예술인들의 지속가능한 공유활동 플랫폼 마련을 통해 청년 예술 관련 담론 형성 및 거버넌스 구축,https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifList.do
44,공공빅데이터 청년인턴십 사업,청년인턴십 프로그램을 통한 공공빅데이터 분야 전문인력 지원,"- (지원내용) 전문교육(2개월), 일경험 지원금 1인 월 160여만원(4∼6개월)- (전달체계) 중간조직(한국정보화진흥원)을 통한 지원",https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifList.do
45,울산청년 버팀목 프로젝트,코로나19로 인해 기존에 일하던 단기근로에서 비자발적으로 그만두게 된 사회안전망 밖 실업 청년들에게 긴급 생활지원 및 구직활동 지원,1인당 50만원 지원,https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifList.do
46,청년여성 멘토링,"역할모델 제공, 진로탐색 지원 등을 통해 청년여성의 사회 진출 및 적응 지원","그룹멘토링 및 멘토링의 날 운영(멘토별 공개강좌 운영, 권역별 실무 멘토링 진행)",https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifList.do
47,부산청춘드림카 지원사업,"교통취약 지역 내 청년 취업을 촉진하고, 장기근속을 유도하기 위해 강서구 및 기장군 내 중소·중견 기업에 신규 취업한 청년 근로자에게 전기차 임차비 일부를 지원",출·퇴근용 전기차 임차비 지원,https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifList.do
48,인천 청년 면접지원(드림나래) 서비스,"청년 구직자에게 면접용 정장대여비 지원 (1인당 연3회, 연15만원 이내)",면접용 정장 대여비 지원 (1인당 연 3회),https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifList.do
49,토닥토닥 청년일자리(job)카페 운영,청년활동지원 거점공간 마련 및 다양한 취업·창업정보제공 및 프로그램 지원,"취업을 위한 공간대여 및 취업, 창업관련 교육 프로그램 지원",https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifList.do
51,청년의 성공적인 취업을 위한 자신감 UP 캠프사업,취업지원 프로그램을 운영하여 청년들의 취업역량과 자신감을 높여 성공적인 취업이 될 수 있도록 지원,취업 준비 중인 청년들을 대상으로 취업역량 강화 프로그램 운영,https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifList.do
52,중소기업 청년일자리 지원사업,관내 미취업 청년 구직자의 취업촉진 및 경력형성 기회를 제공하고 중소기업에게는 예산지원을 통한 우수인력지원으로 청년의 지역정착 및 지역경제 활성화 도모,"- 인건비 지원(1인당 월 160만원), 직무교육 및 네트워킹 지원- 교육 및 네트워킹 지원",https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifList.do
53,(충남) 지역주도형 청년일자리 사업,"청년에게 적합한 지역 일자리를 발굴 제공, 자산형성이 가능한 수준의 소득 창출 및 지역정착 활성화 도모","사업 유형에 따른 기업인건비, 청년 인센티브, 기본 및 심화교육, 창업 지원비 등",https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifList.do
54,청년인턴사업,청년들에게 진로탐색을 위한 공공부문 일경험 기회 제공,"실과소 수요부서 배치, 청년의 공공영역 실무경험 기회 제공- 주 5일, 1일 8시간 근무, 주휴연차 수당, 3대보험 가입",https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifList.do
55,NCS기반 능력중심 채용 및 공공/민간 블라인드 채용,직무능력중심으로 평가하는 블라인드 채용 확산 추진,"- (지원내용) 관계부처 합동으로 평등한 기회, 공정한 과정을 위한 블라인드 채용 추진방안(17.7월) 발표, 부문별 가이드라인 제공 및 공공/민간 컨설팅, 정보제공 등 지원- (전달체계) 지방공기업(행정안전부), 공공기관(고용노동부·기획재정부), 공무원(인사혁신처) 등 역할분담을 통해 추진",https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifList.do
