description_word,total_cnt,money,interview,edu,job,consult,cnt_money,cnt_interview,cnt_edu,cnt_job,cnt_consult
직업가치관,1.0,0,1,0,1,0,0.0,1.0,0.0,1.0,0.0
다중,1.0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0
충주체험관광센터,1.0,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0
연금경제학,1.0,0,0,1,1,0,0.0,0.0,1.0,1.0,0.0
문화예술인,1.0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0
지역발전,1.0,1,0,0,1,0,1.0,0.0,0.0,1.0,0.0
체력단련실,1.0,1,0,0,1,0,1.0,0.0,0.0,1.0,0.0
취업발전소,2.0,1,0,1,0,0,2.0,0.0,2.0,0.0,0.0
기능우수인력,2.0,1,0,0,1,0,2.0,0.0,0.0,2.0,0.0
주차월차,1.0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
전달,2.0,0,1,0,0,1,0.0,1.0,0.0,0.0,2.0
현황조사,1.0,0,0,0,1,1,0.0,0.0,0.0,1.0,1.0
공공일자리,1.0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
청년부담금,1.0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
카페공간사용료,1.0,1,0,0,0,1,1.0,0.0,0.0,0.0,1.0
답사,1.0,0,0,1,1,0,0.0,0.0,1.0,1.0,0.0
취업카운슬링관,1.0,0,1,0,0,1,0.0,1.0,0.0,0.0,1.0
리더,2.0,0,0,1,0,0,0.0,0.0,2.0,0.0,0.0
마포형,1.0,0,0,1,1,0,0.0,0.0,1.0,1.0,0.0
파견전,1.0,1,0,1,0,0,1.0,0.0,1.0,0.0,0.0
창출확대,1.0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0
노동공급,1.0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
자발,2.0,1,0,0,0,1,1.0,0.0,0.0,0.0,1.0
전파,1.0,1,0,0,0,1,1.0,0.0,0.0,0.0,1.0
현장전문인력,1.0,1,0,1,0,0,1.0,0.0,1.0,0.0,0.0
취약아동,1.0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0
잔액,1.0,1,0,1,0,0,1.0,0.0,1.0,0.0,0.0
버팀목,1.0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
가전제품,1.0,0,0,1,1,0,0.0,0.0,1.0,1.0,0.0
소멸,1.0,1,0,1,0,0,1.0,0.0,1.0,0.0,0.0
전체,2.0,0,1,0,0,1,0.0,1.0,0.0,0.0,2.0
정기채용지원,1.0,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0
이주민취업준비,1.0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0
무대활동지원,1.0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
지역현안사업,1.0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
재봉틀,1.0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0
면접실습,1.0,0,1,0,1,0,0.0,1.0,0.0,1.0,0.0
농업인턴제,1.0,1,0,0,1,0,1.0,0.0,0.0,1.0,0.0
경남청년장인프로젝트,1.0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
한방,1.0,1,0,1,0,0,1.0,0.0,1.0,0.0,0.0
사회적공동체,1.0,0,0,1,0,1,0.0,0.0,1.0,0.0,1.0
보험금,2.0,1,0,0,1,0,2.0,0.0,0.0,2.0,0.0
신규장학생,1.0,1,0,1,0,0,1.0,0.0,1.0,0.0,0.0
교육공간,2.0,0,0,1,1,0,0.0,0.0,2.0,2.0,0.0
주차,2.0,1,0,0,0,0,2.0,0.0,0.0,0.0,0.0
기업멘토,1.0,0,0,1,1,0,0.0,0.0,1.0,1.0,0.0
가스사용시설,1.0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0
기업체간,2.0,0,0,0,1,0,0.0,0.0,0.0,2.0,0.0
가치관,2.0,0,0,1,0,1,0.0,0.0,1.0,0.0,1.0
청주청년,1.0,1,0,0,1,0,1.0,0.0,0.0,1.0,0.0
수출사무,2.0,1,0,0,1,0,2.0,0.0,0.0,1.0,0.0
일시,1.0,0,1,0,0,1,0.0,1.0,0.0,0.0,1.0
특별모집,1.0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
구로,1.0,0,0,1,0,1,0.0,0.0,1.0,0.0,1.0
조기취업,1.0,1,0,1,0,0,1.0,0.0,1.0,0.0,0.0
계속,1.0,1,0,1,0,0,1.0,0.0,1.0,0.0,0.0
공직생활,1.0,1,0,0,1,0,1.0,0.0,0.0,1.0,0.0
핵심분야,1.0,1,0,1,0,0,1.0,0.0,1.0,0.0,0.0
펫카페,1.0,1,0,1,0,0,1.0,0.0,1.0,0.0,0.0
정립,1.0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0
청년관광코디네이터,1.0,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0
임금격차,1.0,1,0,0,1,0,1.0,0.0,0.0,1.0,0.0
보전,4.0,1,0,0,0,0,4.0,0.0,0.0,0.0,0.0
선도적,1.0,1,0,1,0,0,1.0,0.0,1.0,0.0,0.0
채용매칭,3.0,0,0,0,1,1,0.0,0.0,0.0,1.0,2.0
경북형,2.0,0,0,1,0,1,0.0,0.0,1.0,0.0,1.0
본청,1.0,1,0,0,1,0,1.0,0.0,0.0,1.0,0.0
지역보호위원,1.0,0,0,1,0,1,0.0,0.0,1.0,0.0,1.0
어촌지역,1.0,1,0,1,0,0,1.0,0.0,1.0,0.0,0.0
학술,1.0,0,0,0,1,1,0.0,0.0,0.0,1.0,1.0
선도기업,1.0,1,0,0,1,0,1.0,0.0,0.0,1.0,0.0
목포대학교,1.0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0
아메리카,1.0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
직장조기,1.0,0,0,1,1,0,0.0,0.0,1.0,1.0,0.0
방학기간동안,1.0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
소석,1.0,0,0,1,1,0,0.0,0.0,1.0,1.0,0.0
제고현장체험,1.0,0,0,0,1,1,0.0,0.0,0.0,1.0,1.0
훈련사업,2.0,1,0,1,0,0,2.0,0.0,2.0,0.0,0.0
국가식품클러스터지원센터,1.0,0,0,1,1,0,0.0,0.0,1.0,1.0,0.0
포럼기간,1.0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0
공채,2.0,0,0,1,0,1,0.0,0.0,2.0,0.0,2.0
근로사실,1.0,1,0,0,1,0,1.0,0.0,0.0,1.0,0.0
수출업체,1.0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0
과학기술전문사관,1.0,1,0,1,0,0,1.0,0.0,1.0,0.0,0.0
입사일,1.0,1,0,1,0,0,1.0,0.0,1.0,0.0,0.0
금융기술,1.0,1,0,0,1,0,1.0,0.0,0.0,1.0,0.0
유급실무자,2.0,0,0,1,1,0,0.0,0.0,2.0,2.0,0.0
직무이해,1.0,0,1,1,0,0,0.0,1.0,1.0,0.0,0.0
유턴,1.0,1,0,0,1,0,1.0,0.0,0.0,1.0,0.0
사우청년지원센터,1.0,0,1,0,0,1,0.0,1.0,0.0,0.0,1.0
성장동력산업,1.0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0
취업형,1.0,1,0,1,0,0,1.0,0.0,1.0,0.0,0.0
관계기관,1.0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0
걸림돌,1.0,0,1,0,0,1,0.0,1.0,0.0,0.0,1.0
실천계획,1.0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0
그룹,1.0,0,0,1,0,1,0.0,0.0,1.0,0.0,1.0
자율적,2.0,0,0,0,1,0,0.0,0.0,0.0,2.0,0.0
서포터즈,1.0,0,1,0,0,1,0.0,1.0,0.0,0.0,1.0
재직자교육,1.0,0,0,1,1,0,0.0,0.0,1.0,1.0,0.0
매칭연계,2.0,0,0,0,1,0,0.0,0.0,0.0,2.0,0.0
주민등록상,1.0,1,0,0,1,0,1.0,0.0,0.0,1.0,0.0
근재,1.0,1,0,1,0,0,1.0,0.0,1.0,0.0,0.0
진로코칭,1.0,0,1,0,0,1,0.0,1.0,0.0,0.0,1.0
인력양성지원,1.0,0,0,1,1,0,0.0,0.0,1.0,1.0,0.0
다담,1.0,1,0,1,0,0,1.0,0.0,1.0,0.0,0.0
일자리정보,6.0,0,1,0,0,1,0.0,3.0,0.0,0.0,6.0
흐름,1.0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0
시흥청년해피기업,1.0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
청년고용촉진,1.0,1,0,1,0,0,1.0,0.0,1.0,0.0,0.0
안전성,2.0,1,0,1,0,0,1.0,0.0,1.0,0.0,0.0
생활지원,1.0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
온라인상담,1.0,0,0,1,0,1,0.0,0.0,1.0,0.0,1.0
전역후,2.0,0,0,0,0,1,0.0,0.0,0.0,0.0,2.0
민간보조금,1.0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
입금,1.0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
발돋움,1.0,0,0,1,1,0,0.0,0.0,1.0,1.0,0.0
경력계획,1.0,0,0,1,1,0,0.0,0.0,1.0,1.0,0.0
청년날개,1.0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0
지방공항,1.0,0,1,0,0,1,0.0,1.0,0.0,0.0,1.0
디지털교육,1.0,0,0,1,1,0,0.0,0.0,1.0,1.0,0.0
극복방법,1.0,0,1,0,0,1,0.0,1.0,0.0,0.0,1.0
파견활동,1.0,0,0,1,1,0,0.0,0.0,1.0,1.0,0.0
개척요원,1.0,0,0,1,1,0,0.0,0.0,1.0,1.0,0.0
자격기준,1.0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
취업전,1.0,1,0,0,1,0,1.0,0.0,0.0,1.0,0.0
부산권대학,1.0,0,1,0,0,1,0.0,1.0,0.0,0.0,1.0
향상교육,3.0,0,0,1,1,0,0.0,0.0,3.0,3.0,0.0
벤치마킹,1.0,0,0,1,1,0,0.0,0.0,1.0,1.0,0.0
행정인턴,6.0,1,0,0,1,0,6.0,0.0,0.0,6.0,0.0
직무컨설팅,1.0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0
지도대상,1.0,1,0,1,0,0,1.0,0.0,1.0,0.0,0.0
교안,1.0,0,0,1,0,1,0.0,0.0,1.0,0.0,1.0
농어촌간,2.0,0,0,0,0,1,0.0,0.0,0.0,0.0,2.0
주요내용업체,1.0,0,0,0,1,1,0.0,0.0,0.0,1.0,1.0
작업공간,1.0,0,0,1,0,1,0.0,0.0,1.0,0.0,1.0
정직원,1.0,1,0,0,1,0,1.0,0.0,0.0,1.0,0.0
관계망,2.0,0,0,0,0,1,0.0,0.0,0.0,0.0,2.0
이전공공기관,3.0,0,1,0,0,1,0.0,1.0,0.0,0.0,3.0
본급,1.0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
무인,1.0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0
도입,1.0,1,0,1,0,0,1.0,0.0,1.0,0.0,0.0
가입인원,1.0,1,0,0,1,0,1.0,0.0,0.0,1.0,0.0
제반비용,1.0,1,0,1,0,0,1.0,0.0,1.0,0.0,0.0
밀집,1.0,0,0,0,1,1,0.0,0.0,0.0,1.0,1.0
적용불가,1.0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
초임간호사,1.0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
학습체계,1.0,1,0,1,0,0,1.0,0.0,1.0,0.0,0.0
취업브리지,1.0,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0
일부지원,1.0,1,0,0,1,0,1.0,0.0,0.0,1.0,0.0
취업준비행동실천계획,1.0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0
응원기업,1.0,1,0,0,0,1,1.0,0.0,0.0,0.0,1.0
콘텐츠코리아랩,1.0,0,0,1,0,1,0.0,0.0,1.0,0.0,1.0
관할,1.0,0,0,0,1,1,0.0,0.0,0.0,1.0,1.0
적립금,1.0,1,0,1,0,0,1.0,0.0,1.0,0.0,0.0
입사면접용,2.0,1,1,0,0,0,1.0,2.0,0.0,0.0,0.0
네트워크사업,1.0,0,0,1,0,1,0.0,0.0,1.0,0.0,1.0
정례,1.0,0,1,0,0,1,0.0,1.0,0.0,0.0,1.0
취업준비청년,1.0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0
완비,1.0,0,0,1,1,0,0.0,0.0,1.0,1.0,0.0
타시,2.0,1,0,0,1,0,2.0,0.0,0.0,2.0,0.0
커뮤니티실,1.0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
현황,3.0,0,0,1,0,1,0.0,0.0,2.0,0.0,1.0
청년활력사업,1.0,1,0,0,1,0,1.0,0.0,0.0,1.0,0.0
임용,1.0,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0
상생사업,1.0,1,0,0,0,1,1.0,0.0,0.0,0.0,1.0
수습기간,1.0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
추진방안,1.0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0
담론,1.0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
계약여부,1.0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0
자격과정,1.0,1,0,1,0,0,1.0,0.0,1.0,0.0,0.0
파견후,1.0,1,0,1,0,0,1.0,0.0,1.0,0.0,0.0
여자,5.0,0,1,0,0,0,0.0,5.0,0.0,0.0,0.0
취사,1.0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0
특성화학과,1.0,1,0,0,1,0,1.0,0.0,0.0,1.0,0.0
설비,1.0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0
틈새,1.0,0,0,1,1,0,0.0,0.0,1.0,1.0,0.0
구분,3.0,1,0,1,0,0,3.0,0.0,2.0,0.0,0.0
기차카페,3.0,1,0,0,0,0,3.0,0.0,0.0,0.0,0.0
홍보영상,2.0,1,0,0,0,0,2.0,0.0,0.0,0.0,0.0
협의,1.0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0
개인심리검사,1.0,1,0,0,0,1,1.0,0.0,0.0,0.0,1.0
지식습득,1.0,0,0,1,0,1,0.0,0.0,1.0,0.0,1.0
자동차부품기업,1.0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
수제화,1.0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0
대통령령,2.0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
민간형,1.0,0,0,1,1,0,0.0,0.0,1.0,1.0,0.0
국립대학,2.0,0,0,1,0,0,0.0,0.0,2.0,0.0,0.0
공학교육혁신센터,3.0,0,0,1,1,0,0.0,0.0,3.0,2.0,0.0
가운데,1.0,0,1,0,1,0,0.0,1.0,0.0,1.0,0.0
창작소재,1.0,1,0,0,0,1,1.0,0.0,0.0,0.0,1.0
대학일자리센터지원,2.0,0,0,0,0,1,0.0,0.0,0.0,0.0,2.0
기업주,1.0,1,0,0,1,0,1.0,0.0,0.0,1.0,0.0
용접,2.0,1,0,1,0,0,1.0,0.0,2.0,0.0,0.0
생애비전,1.0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0
연습실,1.0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
소셜마,1.0,1,0,1,0,0,1.0,0.0,1.0,0.0,0.0
기능안전,1.0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0
성장산업,1.0,0,0,1,1,0,0.0,0.0,1.0,1.0,0.0
교통수당,1.0,1,0,1,0,0,1.0,0.0,1.0,0.0,0.0
물품대여사업,2.0,0,1,0,0,1,0.0,2.0,0.0,0.0,2.0
사물인터넷,1.0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0
이모티콘,1.0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0
구민,1.0,1,0,1,0,0,1.0,0.0,1.0,0.0,0.0
전시박람회,1.0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0
파견국,2.0,1,0,1,0,0,2.0,0.0,2.0,0.0,0.0
지원규모,1.0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
청년발전위원회,1.0,1,0,1,0,0,1.0,0.0,1.0,0.0,0.0
인공,1.0,0,0,1,1,0,0.0,0.0,1.0,1.0,0.0
심리,2.0,0,0,0,0,1,0.0,0.0,0.0,0.0,2.0
관심사,1.0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0
취업네트워크,3.0,0,1,0,0,1,0.0,3.0,0.0,0.0,3.0
광산형,1.0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0
옥천군,2.0,1,0,0,0,1,1.0,0.0,0.0,0.0,1.0
산업발전,1.0,0,0,1,0,1,0.0,0.0,1.0,0.0,1.0
공유책방,1.0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0
탄자니아,1.0,1,0,1,0,0,1.0,0.0,1.0,0.0,0.0
만성적,1.0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
작업,3.0,0,0,1,0,0,0.0,0.0,3.0,0.0,0.0
상담알선,1.0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0
공학교육혁신,2.0,0,0,1,1,0,0.0,0.0,2.0,2.0,0.0
실기,1.0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0
지역사회서비스,1.0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0
청년위원회,1.0,0,0,0,1,1,0.0,0.0,0.0,1.0,1.0
백신산업,1.0,0,0,1,1,0,0.0,0.0,1.0,1.0,0.0
희망브리지,1.0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0
창업환경,2.0,0,0,0,0,1,0.0,0.0,0.0,0.0,2.0
남녀,2.0,1,1,0,0,0,1.0,2.0,0.0,0.0,0.0
다이노스타,1.0,1,0,0,1,0,1.0,0.0,0.0,1.0,0.0
근속지원,1.0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
대주주,1.0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
기초직업능력,1.0,0,0,1,1,0,0.0,0.0,1.0,1.0,0.0
상상,1.0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0
한국연구재단,1.0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
실무연수,2.0,1,0,0,1,0,2.0,0.0,0.0,2.0,0.0
뉴질랜드,1.0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
말일,3.0,0,0,0,1,0,0.0,0.0,0.0,3.0,0.0
취미,1.0,0,0,1,0,1,0.0,0.0,1.0,0.0,1.0
국외,1.0,1,0,1,0,0,1.0,0.0,1.0,0.0,0.0
취창업성공금,1.0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
학과운영,1.0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0
지역화폐,1.0,1,0,0,1,0,1.0,0.0,0.0,1.0,0.0
기술기반산업,1.0,0,0,1,0,1,0.0,0.0,1.0,0.0,1.0
청년사업단,1.0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0
여름방학,2.0,1,0,0,1,0,2.0,0.0,0.0,2.0,0.0
시기,1.0,1,0,0,1,0,1.0,0.0,0.0,1.0,0.0
연수종료,1.0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
제작자,2.0,0,0,1,0,1,0.0,0.0,2.0,0.0,2.0
청소년항공,1.0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0
청년지원정책,1.0,1,0,0,1,0,1.0,0.0,0.0,1.0,0.0
안목,1.0,1,0,0,1,0,1.0,0.0,0.0,1.0,0.0
청년고용인식,1.0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0
무주,1.0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
로컬기업,1.0,0,0,1,1,0,0.0,0.0,1.0,1.0,0.0
수속,1.0,1,0,1,0,0,1.0,0.0,1.0,0.0,0.0
처우수준,2.0,1,0,0,0,0,2.0,0.0,0.0,0.0,0.0
실업청년,1.0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
입학,1.0,1,0,1,0,0,1.0,0.0,1.0,0.0,0.0
호텔리어,2.0,0,0,1,1,0,0.0,0.0,2.0,2.0,0.0
상담지원,1.0,0,0,1,0,1,0.0,0.0,1.0,0.0,1.0
수업료,2.0,1,0,1,0,0,2.0,0.0,2.0,0.0,0.0
유통기관,1.0,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0
공급자,1.0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0
카카오톡,3.0,0,0,1,0,1,0.0,0.0,1.0,0.0,3.0
수원형,1.0,1,0,0,1,0,1.0,0.0,0.0,1.0,0.0
민원현장,1.0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
시험준비생,1.0,1,0,1,0,0,1.0,0.0,1.0,0.0,0.0
항공일자리,3.0,0,1,0,0,1,0.0,3.0,0.0,0.0,3.0
운영활성화,1.0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0
면접자,1.0,0,1,0,0,1,0.0,1.0,0.0,0.0,1.0
주소,2.0,1,0,0,1,0,2.0,0.0,0.0,1.0,0.0
안전지킴이,1.0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0
